a,b,c,d
356,693,766,837
120,292,272,639
51,668,447,-87
597,402,386,874
357,42,878,-25
352,929,472,300
242,417,857,212
123,199,162,-61
-4,538,288,308
458,613,506,892
993,512,-76,96
99,953,968,291
96,326,-77,390
417,216,-81,986
108,920,-36,222
6,553,708,-57
710,162,410,317
908,885,425,762
610,364,782,333
20,704,52,991
256,420,241,818
992,126,626,386
633,-75,218,272
690,212,186,981
931,142,499,475
977,276,390,310
-45,541,548,-94
307,94,997,336
865,885,896,933
836,-4,491,287
748,835,708,137
155,621,172,901
741,276,616,856
418,164,751,273
403,624,479,874
173,841,139,472
493,56,245,564
327,745,509,261
361,950,458,277
720,970,538,774
74,853,912,833
684,295,570,-98
197,462,911,207
837,227,456,-30
621,662,581,979
609,253,753,955
13,-64,516,257
808,236,474,231
397,356,808,-51
735,601,-83,134
221,920,422,977
590,156,178,239
567,635,391,758
746,368,468,618
483,523,-42,33
267,970,155,97
278,35,910,836
135,144,842,701
915,573,314,47
807,345,86,420
283,-44,706,276
-2,228,-97,84
555,221,582,137
388,83,732,496
849,13,857,86
594,290,388,748
441,499,58,979
91,320,635,86
509,277,218,297
260,639,220,57
587,426,54,557
764,819,48,15
815,762,699,396
365,153,620,905
542,-100,560,426
686,-61,925,93
997,185,922,187
709,824,760,525
39,934,21,477
889,815,728,611
828,25,865,-51
311,38,70,-63
513,327,839,477
708,905,44,618
88,490,62,243
81,148,224,-18
770,-33,497,-84
748,944,473,157
760,773,116,952
235,670,174,559
406,428,246,848
605,821,-15,393
774,246,821,713
526,652,119,333
-20,407,2,244
-98,695,872,369
770,-29,765,141
-30,558,452,210
360,981,207,9
794,690,745,894
